Transaction_ID,Date,Country,Product_Category,Unit_Price,Quantity_Ordered,Discount_Percent,Marketing_Spend,Customer_Rating,Store_Size_SqFt,Is_Holiday_Season,Sales_Amount
TXN-100047,2024-01-02 23:00:00,UK,Health & Beauty,558.42,10,0.29,1353.42,4.8,2500,0,4699.29
TXN-100048,2024-01-03 00:00:00,UK,Health & Beauty,823.17,8,0.11,249.0,3.3,15000,0,6365.24
TXN-100049,2024-01-03 01:00:00,USA,Apparel,735.58,3,0.05,177.25,3.0,25000,0,2827.94
TXN-100050,2024-01-03 02:00:00,Australia,Automotive,389.77,13,0.26,362.06,3.7,25000,0,4648.5
TXN-100051,2024-01-03 03:00:00,France,Apparel,67.49,3,0.1,148.81,2.6,25000,0,947.95
TXN-100052,2024-01-03 04:00:00,Japan,Apparel,412.51,2,0.18,1127.09,3.1,5000,1,1657.76
TXN-100053,2024-01-03 05:00:00,Japan,Automotive,590.52,1,0.12,256.24,2.7,15000,0,1135.71
TXN-100054,2024-01-03 06:00:00,Germany,Books,522.44,4,0.12,479.21,2.8,5000,0,2275.62
TXN-100055,2024-01-03 07:00:00,Japan,Electronics,464.34,2,0.22,501.59,2.8,15000,0,1319.11
TXN-100056,2024-01-03 08:00:00,USA,Health & Beauty,406.46,14,0.11,411.79,4.7,2500,1,5791.16
TXN-100057,2024-01-03 09:00:00,USA,Apparel,260.29,14,0.21,135.11,4.8,25000,0,3582.21
TXN-100058,2024-01-03 10:00:00,USA,Automotive,246.58,2,0.0,2405.3,3.7,25000,0,2231.39
TXN-100059,2024-01-03 11:00:00,USA,Home & Kitchen,432.69,13,0.1,144.74,4.1,15000,0,5573.81
TXN-100060,2024-01-03 12:00:00,UK,Apparel,149.1,11,0.1,746.17,4.2,5000,0,1976.86
TXN-100061,2024-01-03 13:00:00,USA,Health & Beauty,299.47,11,0.22,833.58,3.5,5000,1,3478.43
TXN-100062,2024-01-03 14:00:00,Canada,Electronics,285.52,5,0.09,128.42,3.4,10000,0,1721.42
TXN-100063,2024-01-03 15:00:00,UK,Apparel,505.26,4,0.19,1402.75,4.2,25000,1,3299.32
TXN-100064,2024-01-03 16:00:00,USA,Apparel,70.68,1,0.21,384.48,3.4,25000,0,732.38
TXN-100065,2024-01-03 17:00:00,UK,Books,707.77,9,0.2,545.62,4.0,5000,0,5564.41
TXN-100066,2024-01-03 18:00:00,USA,Automotive,484.59,14,0.18,563.87,3.8,25000,0,6578.07
TXN-100067,2024-01-03 19:00:00,Canada,Home & Kitchen,575.14,4,0.12,401.55,3.8,5000,1,2768.56
TXN-100068,2024-01-03 20:00:00,USA,Home & Kitchen,602.08,5,0.11,126.59,4.6,10000,0,3201.17
TXN-100069,2024-01-03 21:00:00,Australia,Electronics,258.39,7,0.17,746.67,4.3,15000,0,2446.89
TXN-100070,2024-01-03 22:00:00,France,Health & Beauty,407.76,2,0.02,485.88,4.9,15000,0,1477.2
TXN-100071,2024-01-03 23:00:00,USA,Electronics,813.47,8,0.26,113.17,4.5,10000,0,5200.03
TXN-100072,2024-01-04 00:00:00,USA,Apparel,655.2,11,0.25,652.52,2.9,25000,0,6398.01
TXN-100073,2024-01-04 01:00:00,Canada,Apparel,824.58,2,0.1,656.61,4.3,2500,0,2073.92
TXN-100074,2024-01-04 02:00:00,France,Home & Kitchen,638.12,11,0.17,447.57,4.2,25000,0,6706.43
TXN-100075,2024-01-04 03:00:00,France,Health & Beauty,161.63,10,0.28,97.46,4.1,5000,0,1479.8
TXN-100076,2024-01-04 04:00:00,France,Automotive,68.89,5,0.08,267.43,3.7,2500,0,576.06
TXN-100077,2024-01-04 05:00:00,USA,Health & Beauty,497.35,13,0.22,76.13,2.7,10000,0,5525.16
TXN-100078,2024-01-04 06:00:00,UK,Apparel,313.77,12,0.02,374.66,4.9,15000,0,4541.15
TXN-100079,2024-01-04 07:00:00,USA,Automotive,245.01,2,0.16,1234.61,4.6,15000,0,1563.56
TXN-100080,2024-01-04 08:00:00,Canada,Health & Beauty,689.02,2,0.27,51.13,3.7,25000,1,1997.71
TXN-100081,2024-01-04 09:00:00,Germany,Health & Beauty,321.44,4,0.17,205.06,2.9,15000,0,1637.15
TXN-100082,2024-01-04 10:00:00,USA,Automotive,279.7,4,0.18,854.37,4.6,25000,0,2035.36
TXN-100083,2024-01-04 11:00:00,USA,Apparel,724.74,13,0.27,54.95,3.6,5000,0,7023.5
TXN-100084,2024-01-04 12:00:00,USA,Health & Beauty,721.65,8,0.21,55.11,3.5,5000,0,4805.06
TXN-100085,2024-01-04 13:00:00,USA,Automotive,312.57,13,0.21,521.85,4.2,10000,0,3899.51
TXN-100086,2024-01-04 14:00:00,France,Books,710.14,6,0.18,828.42,4.4,5000,0,4096.92
TXN-100087,2024-01-04 15:00:00,Germany,Books,725.4,10,0.19,799.18,2.7,25000,0,6869.31
TXN-100088,2024-01-04 16:00:00,Japan,Apparel,368.98,8,0.24,806.11,4.4,15000,1,3446.7
TXN-100089,2024-01-04 17:00:00,UK,Automotive,70.51,13,0.29,273.93,4.3,5000,0,1161.41
TXN-100090,2024-01-04 18:00:00,USA,Books,16.32,7,0.24,1121.61,4.0,5000,0,946.52
TXN-100091,2024-01-04 19:00:00,France,Automotive,451.95,13,0.21,56.46,3.3,25000,1,5588.13
TXN-100092,2024-01-04 20:00:00,France,Health & Beauty,302.3,10,0.04,237.12,2.9,5000,0,3303.11
TXN-100093,2024-01-04 21:00:00,Germany,Apparel,847.61,4,0.25,255.63,2.8,15000,0,3064.55
TXN-100094,2024-01-04 22:00:00,France,Books,659.96,2,0.22,140.5,2.5,15000,0,1641.51
TXN-100095,2024-01-04 23:00:00,UK,Health & Beauty,650.67,9,0.23,254.91,3.0,15000,0,4931.59
TXN-100096,2024-01-05 00:00:00,UK,Electronics,812.63,2,0.07,490.8,3.5,15000,0,2195.29
TXN-100097,2024-01-05 01:00:00,UK,Electronics,756.25,1,0.27,417.28,3.1,2500,0,891.65
TXN-100098,2024-01-05 02:00:00,USA,Apparel,280.69,8,0.03,242.41,3.3,15000,0,2790.33
TXN-100099,2024-01-05 03:00:00,USA,Books,153.6,10,0.08,741.8,3.5,2500,0,1927.27
TXN-100100,2024-01-05 04:00:00,USA,Books,637.82,9,0.2,677.27,3.3,15000,0,5539.03
TXN-100101,2024-01-05 05:00:00,Germany,Books,330.86,1,0.2,214.74,4.3,15000,1,1178.08
TXN-100102,2024-01-05 06:00:00,USA,Automotive,410.1,7,0.09,245.21,3.7,25000,0,3309.29
TXN-100103,2024-01-05 07:00:00,UK,Health & Beauty,541.38,2,0.21,219.5,2.5,15000,0,1153.37
TXN-100104,2024-01-05 08:00:00,Japan,Books,773.07,6,0.12,118.97,3.1,5000,0,4283.81
TXN-100105,2024-01-05 09:00:00,USA,Health & Beauty,364.94,13,0.0,748.74,4.3,15000,0,5619.57
TXN-100106,2024-01-05 10:00:00,UK,Apparel,669.07,11,0.05,73.69,3.3,10000,0,7352.38
TXN-100107,2024-01-05 11:00:00,France,Books,239.06,5,0.26,131.6,4.8,25000,1,1863.84
TXN-100108,2024-01-05 12:00:00,USA,Apparel,597.81,1,0.07,105.64,4.3,25000,0,1239.13
TXN-100109,2024-01-05 13:00:00,USA,Books,16.32,2,0.03,922.45,3.2,15000,0,957.15
TXN-100110,2024-01-05 14:00:00,USA,Electronics,742.71,2,0.2,72.5,3.8,10000,0,1565.47
TXN-100111,2024-01-05 15:00:00,USA,,40.37,10,0.13,,4.2,15000,0,1073.73
TXN-100112,2024-01-05 16:00:00,Japan,Apparel,610.15,10,0.24,72.75,3.0,5000,0,4984.44
TXN-100113,2024-01-05 17:00:00,Canada,Books,53.63,6,0.26,821.93,3.1,25000,0,1372.45
TXN-100114,2024-01-05 18:00:00,Germany,Home & Kitchen,237.32,11,0.25,1269.28,3.8,25000,0,3110.96
TXN-100115,2024-01-05 19:00:00,Canada,Apparel,430.16,12,0.09,383.59,4.8,10000,0,5380.21
TXN-100116,2024-01-05 20:00:00,Canada,Automotive,365.65,1,0.15,866.2,3.4,2500,0,894.75
TXN-100117,2024-01-05 21:00:00,USA,Books,175.18,11,0.2,662.79,3.5,10000,0,2270.79
TXN-100118,2024-01-05 22:00:00,Japan,Automotive,293.74,13,0.1,843.92,3.0,5000,1,4353.97
TXN-100119,2024-01-05 23:00:00,UK,Electronics,622.63,4,0.01,777.88,4.0,10000,1,3447.26
TXN-100120,2024-01-06 00:00:00,Canada,Books,573.83,12,0.15,164.94,4.4,2500,0,6180.28
TXN-100121,2024-01-06 01:00:00,Japan,Electronics,74.97,10,0.0,396.13,3.6,5000,0,1243.42
TXN-100122,2024-01-06 02:00:00,USA,Home & Kitchen,639.01,11,0.29,,4.4,5000,0,5950.04
TXN-100123,2024-01-06 03:00:00,USA,Apparel,59.29,5,0.24,260.44,3.3,2500,1,699.58
TXN-100124,2024-01-06 04:00:00,USA,Health & Beauty,468.34,2,0.06,,4.3,15000,1,2605.61
TXN-100125,2024-01-06 05:00:00,UK,Electronics,232.15,2,0.09,487.53,3.1,10000,1,1324.82
TXN-100126,2024-01-06 06:00:00,Canada,Health & Beauty,505.72,7,0.29,359.59,4.5,5000,0,3057.14
TXN-100127,2024-01-06 07:00:00,Canada,Health & Beauty,233.21,7,0.11,586.12,4.6,10000,0,2111.16
TXN-100128,2024-01-06 08:00:00,USA,Apparel,837.44,6,0.24,895.97,4.5,2500,0,4343.3
TXN-100129,2024-01-06 09:00:00,UK,Home & Kitchen,273.62,1,0.13,300.61,3.0,25000,0,965.91
TXN-100130,2024-01-06 10:00:00,UK,Apparel,217.04,12,0.26,66.75,4.2,2500,0,2229.16
TXN-100131,2024-01-06 11:00:00,USA,Books,247.52,13,0.21,666.88,3.8,10000,0,3305.19
TXN-100132,2024-01-06 12:00:00,USA,Electronics,763.55,12,0.01,1613.68,,5000,0,10156.4
TXN-100133,2024-01-06 13:00:00,USA,Health & Beauty,546.24,3,0.09,540.4,3.4,10000,0,2123.92
TXN-100134,2024-01-06 14:00:00,Japan,Apparel,625.12,9,0.17,154.38,4.4,25000,0,5423.4
TXN-100135,2024-01-06 15:00:00,USA,Apparel,781.54,10,0.28,192.67,3.4,5000,1,6268.77
TXN-100136,2024-01-06 16:00:00,UK,Apparel,776.41,1,0.03,1252.59,3.5,25000,0,1901.56
TXN-100137,2024-01-06 17:00:00,France,Electronics,632.02,2,0.18,56.83,2.8,15000,1,1748.03
TXN-100138,2024-01-06 18:00:00,UK,Home & Kitchen,180.18,8,0.09,447.86,3.1,2500,1,1934.4
TXN-100139,2024-01-06 19:00:00,Australia,Apparel,719.22,7,0.27,136.39,2.9,15000,0,4282.72
TXN-100140,2024-01-06 20:00:00,Australia,Electronics,185.15,9,0.23,216.18,2.9,10000,0,1482.42
TXN-100141,2024-01-06 21:00:00,USA,Health & Beauty,635.32,10,0.11,233.35,2.5,15000,0,6159.72
TXN-100142,2024-01-06 22:00:00,UK,Books,587.48,12,0.05,173.77,4.5,2500,0,7047.91
TXN-100143,2024-01-06 23:00:00,USA,Automotive,648.67,12,0.0,835.96,3.7,5000,0,8278.44
TXN-100144,2024-01-07 00:00:00,USA,Electronics,459.79,4,0.19,251.89,4.5,25000,1,2614.81
TXN-100145,2024-01-07 01:00:00,USA,Automotive,548.34,4,0.12,261.93,4.0,5000,0,2317.5
TXN-100146,2024-01-07 02:00:00,Germany,Apparel,811.02,7,0.09,351.66,4.6,15000,0,5755.13
TXN-100147,2024-01-07 03:00:00,UK,Apparel,99.41,1,0.3,1212.9,3.8,10000,1,1317.87
TXN-100148,2024-01-07 04:00:00,USA,Electronics,272.89,10,0.14,632.65,2.7,15000,0,2993.54
TXN-100149,2024-01-07 05:00:00,USA,Automotive,525.48,12,0.22,81.87,4.0,2500,0,5250.02
TXN-100150,2024-01-07 06:00:00,Japan,Apparel,819.99,9,0.05,70.03,4.2,2500,0,7296.36
TXN-100151,2024-01-07 07:00:00,USA,Health & Beauty,94.8,2,0.0,467.8,4.1,10000,0,751.81
TXN-100152,2024-01-07 08:00:00,USA,Home & Kitchen,33.83,1,0.13,1140.45,4.5,5000,0,764.39
TXN-100153,2024-01-07 09:00:00,UK,Home & Kitchen,61.55,7,0.2,245.23,4.3,2500,0,641.45
TXN-100154,2024-01-07 10:00:00,Australia,Apparel,58.76,6,0.15,192.36,3.6,2500,0,668.62
TXN-100155,2024-01-07 11:00:00,USA,Automotive,773.03,12,0.27,739.54,4.5,10000,0,7599.28
TXN-100156,2024-01-07 12:00:00,Germany,Books,617.25,3,0.13,510.77,4.2,5000,0,2185.46
TXN-100157,2024-01-07 13:00:00,France,Apparel,580.38,1,0.09,466.24,2.8,15000,0,1161.62
TXN-100158,2024-01-07 14:00:00,USA,Books,451.35,12,0.27,130.85,3.8,25000,0,4739.14
TXN-100159,2024-01-07 15:00:00,France,Books,667.93,5,0.12,146.77,4.3,10000,0,3423.75
TXN-100160,2024-01-07 16:00:00,UK,Automotive,144.97,10,0.08,215.5,3.9,5000,0,1658.04
TXN-100161,2024-01-07 17:00:00,Germany,Books,342.27,14,0.03,165.86,4.9,25000,0,5369.89
TXN-100162,2024-01-07 18:00:00,Germany,Health & Beauty,424.15,4,0.24,1827.96,2.8,10000,0,2412.91
TXN-100163,2024-01-07 19:00:00,UK,Automotive,107.19,5,0.25,59.39,4.3,15000,0,871.42
TXN-100164,2024-01-07 20:00:00,USA,Apparel,365.29,1,0.01,541.83,4.6,15000,1,1372.85
TXN-100165,2024-01-07 21:00:00,Canada,Health & Beauty,279.28,1,0.11,,4.3,5000,0,857.08
TXN-100166,2024-01-07 22:00:00,USA,Electronics,44.71,5,0.22,245.23,3.5,5000,0,564.61
TXN-100167,2024-01-07 23:00:00,USA,Home & Kitchen,129.17,6,0.28,1142.8,3.5,15000,0,1647.31
TXN-100168,2024-01-08 00:00:00,USA,Apparel,652.97,5,0.11,604.58,4.0,15000,1,3907.82
TXN-100169,2024-01-08 01:00:00,Germany,Apparel,30.06,2,0.26,3254.81,3.5,10000,0,1853.23
TXN-100170,2024-01-08 02:00:00,Germany,Apparel,795.1,9,0.12,142.36,4.7,5000,0,6551.55
TXN-100171,2024-01-08 03:00:00,USA,Health & Beauty,87.16,5,0.05,95.99,2.8,25000,0,1134.39
TXN-100172,2024-01-08 04:00:00,UK,Electronics,682.36,11,0.0,125.06,4.1,15000,0,7994.25
TXN-100173,2024-01-08 05:00:00,USA,,765.34,11,0.1,206.87,2.8,25000,0,8227.11
TXN-100174,2024-01-08 06:00:00,Germany,Electronics,800.85,5,0.11,319.6,3.9,5000,1,4152.05
TXN-100175,2024-01-08 07:00:00,USA,Health & Beauty,739.34,10,0.28,1042.44,4.3,5000,0,6114.16
TXN-100176,2024-01-08 08:00:00,Germany,Apparel,255.1,9,0.06,216.75,2.9,2500,0,2389.95
TXN-100177,2024-01-08 09:00:00,UK,Home & Kitchen,293.13,3,0.11,1283.99,4.3,15000,0,1985.69
TXN-100178,2024-01-08 10:00:00,Japan,Apparel,371.17,5,0.01,360.79,2.8,5000,0,2315.17
TXN-100179,2024-01-08 11:00:00,USA,Automotive,131.31,13,0.23,570.74,4.1,5000,0,1813.01
TXN-100180,2024-01-08 12:00:00,USA,Books,33.6,12,0.27,203.54,3.8,15000,0,667.0
TXN-100181,2024-01-08 13:00:00,USA,Home & Kitchen,740.72,5,0.07,134.81,3.2,2500,0,3708.48
TXN-100182,2024-01-08 14:00:00,Japan,Apparel,477.7,2,0.13,1068.03,2.8,2500,1,1713.01
TXN-100183,2024-01-08 15:00:00,Canada,Home & Kitchen,523.28,11,0.04,107.99,4.3,2500,0,5889.13
TXN-100184,2024-01-08 16:00:00,USA,Books,789.04,4,0.14,793.66,3.5,2500,0,3280.02
TXN-100185,2024-01-08 17:00:00,Germany,Electronics,570.38,11,0.04,484.92,,10000,0,6655.0
TXN-100186,2024-01-08 18:00:00,Canada,Health & Beauty,591.86,11,0.16,1037.14,4.4,15000,1,6722.96
TXN-100187,2024-01-08 19:00:00,Germany,Apparel,672.12,2,0.22,682.6,3.1,15000,0,1693.04
TXN-100188,2024-01-08 20:00:00,UK,Automotive,112.15,5,0.17,215.41,4.3,15000,0,996.1
TXN-100189,2024-01-08 21:00:00,USA,Electronics,315.74,10,0.07,477.16,3.9,2500,0,3340.25
TXN-100190,2024-01-08 22:00:00,USA,Apparel,823.45,13,0.11,56.58,3.0,2500,0,9724.3
TXN-100191,2024-01-08 23:00:00,Japan,Electronics,785.65,12,0.19,372.39,2.7,5000,0,8004.02
TXN-100192,2024-01-09 00:00:00,Japan,Automotive,753.2,2,0.18,94.97,4.0,10000,0,1715.46
TXN-100193,2024-01-09 01:00:00,Germany,Apparel,392.49,10,0.04,330.13,2.6,15000,0,4373.69
TXN-100194,2024-01-09 02:00:00,USA,Books,730.76,14,0.25,108.05,2.7,10000,0,8009.41
TXN-100195,2024-01-09 03:00:00,USA,Books,55.41,9,0.14,1605.91,4.3,15000,1,1948.05
TXN-100196,2024-01-09 04:00:00,France,Automotive,139.01,10,0.05,420.19,3.8,2500,0,1636.99
TXN-100197,2024-01-09 05:00:00,Japan,Home & Kitchen,360.66,6,0.04,1272.18,3.3,2500,0,2904.31
TXN-100198,2024-01-09 06:00:00,Japan,Automotive,418.63,8,0.29,61.31,3.8,15000,1,3195.92
TXN-100199,2024-01-09 07:00:00,France,Home & Kitchen,235.03,9,0.08,557.58,4.0,25000,0,2899.0
TXN-100200,2024-01-09 08:00:00,Germany,Apparel,312.66,13,0.27,,3.9,2500,0,3339.7
TXN-100201,2024-01-09 09:00:00,USA,Home & Kitchen,150.92,8,0.12,,4.1,5000,0,1549.25
TXN-100202,2024-01-09 10:00:00,USA,Apparel,423.43,5,0.12,1082.13,4.9,2500,1,2954.37
TXN-100203,2024-01-09 11:00:00,Japan,Apparel,677.86,5,0.21,2006.54,3.5,5000,0,3897.34
TXN-100204,2024-01-09 12:00:00,Germany,Health & Beauty,567.24,6,0.0,191.51,3.3,10000,1,4184.72
TXN-100205,2024-01-09 13:00:00,USA,Apparel,105.01,14,0.1,1530.7,2.6,2500,0,2053.11
TXN-100206,2024-01-09 14:00:00,USA,Home & Kitchen,422.13,1,0.09,633.54,2.9,2500,0,860.33
TXN-100207,2024-01-09 15:00:00,Germany,Health & Beauty,597.53,13,0.26,1562.21,2.8,10000,0,6773.56
TXN-100208,2024-01-09 16:00:00,USA,Health & Beauty,457.46,11,0.16,463.19,3.3,5000,0,4696.05
TXN-100209,2024-01-09 17:00:00,USA,Apparel,342.05,8,0.11,1668.98,4.0,25000,0,3938.51
TXN-100210,2024-01-09 18:00:00,UK,Automotive,534.3,2,0.08,1164.93,2.6,5000,1,1984.65
TXN-100211,2024-01-09 19:00:00,Germany,Automotive,823.81,6,0.18,118.82,4.3,15000,0,4607.2
TXN-100212,2024-01-09 20:00:00,Germany,Books,94.25,14,0.05,236.1,3.5,15000,0,1854.63
TXN-100213,2024-01-09 21:00:00,USA,Health & Beauty,340.66,14,0.07,189.24,4.9,15000,0,4920.52
TXN-100214,2024-01-09 22:00:00,France,Apparel,354.52,9,0.09,474.43,3.9,10000,0,3616.99
TXN-100215,2024-01-09 23:00:00,USA,Automotive,496.77,13,0.18,861.77,4.4,5000,0,5972.98
TXN-100216,2024-01-10 00:00:00,USA,Apparel,142.07,3,0.11,762.33,4.7,2500,1,1352.04
TXN-100217,2024-01-10 01:00:00,France,Apparel,162.5,2,0.15,698.68,4.7,15000,0,1033.79
TXN-100218,2024-01-10 02:00:00,Germany,Health & Beauty,253.28,10,0.2,285.21,3.8,5000,0,2352.6
TXN-100219,2024-01-10 03:00:00,Canada,Books,813.15,5,0.29,125.2,3.5,2500,1,3382.32
TXN-100220,2024-01-10 04:00:00,Germany,Health & Beauty,627.98,11,0.23,168.23,3.9,5000,0,5673.06
TXN-100221,2024-01-10 05:00:00,Germany,Electronics,567.51,9,0.12,726.77,3.5,10000,1,5388.61
TXN-100222,2024-01-10 06:00:00,USA,Automotive,697.16,6,0.22,129.81,3.1,15000,1,3946.26
TXN-100223,2024-01-10 07:00:00,UK,Automotive,121.53,14,0.28,176.12,3.3,25000,0,1982.42
TXN-100224,2024-01-10 08:00:00,USA,Automotive,732.54,8,0.15,326.3,3.1,15000,0,5683.59
TXN-100225,2024-01-10 09:00:00,USA,Home & Kitchen,511.69,8,0.12,87.42,3.2,15000,1,4468.37
TXN-100226,2024-01-10 10:00:00,Australia,Apparel,295.0,7,0.02,169.57,,10000,0,2398.04
TXN-100227,2024-01-10 11:00:00,UK,Health & Beauty,696.24,5,0.27,131.12,3.6,2500,0,2725.93
TXN-100228,2024-01-10 12:00:00,Japan,Automotive,685.14,2,0.07,1561.26,3.1,15000,0,2395.4
TXN-100229,2024-01-10 13:00:00,Germany,Electronics,721.17,14,0.02,156.3,3.6,2500,0,10313.71
TXN-100230,2024-01-10 14:00:00,France,Automotive,111.46,10,0.16,1039.42,4.5,2500,0,1738.8
TXN-100231,2024-01-10 15:00:00,UK,Books,824.42,10,0.25,110.97,3.6,10000,1,6875.94
TXN-100232,2024-01-10 16:00:00,Germany,Apparel,816.29,5,0.12,1068.85,4.9,15000,1,4805.8
TXN-100233,2024-01-10 17:00:00,UK,Apparel,313.49,12,0.23,507.44,2.9,10000,1,3778.45
TXN-100234,2024-01-10 18:00:00,USA,Health & Beauty,70.02,7,0.25,997.58,4.6,10000,0,1404.53
TXN-100235,2024-01-10 19:00:00,France,Home & Kitchen,154.49,12,0.14,1060.02,3.1,25000,0,2699.43
TXN-100236,2024-01-10 20:00:00,USA,Health & Beauty,844.01,12,0.18,503.63,4.8,10000,0,8790.07
TXN-100237,2024-01-10 21:00:00,USA,Automotive,485.12,7,0.16,1298.66,3.1,25000,0,3994.31
TXN-100238,2024-01-10 22:00:00,Germany,Books,312.78,11,0.28,490.28,4.4,2500,0,2950.84
TXN-100239,2024-01-10 23:00:00,USA,Electronics,255.65,13,0.22,673.38,2.7,2500,0,3054.36
TXN-100240,2024-01-11 00:00:00,Japan,Health & Beauty,229.59,2,0.28,319.0,4.1,5000,1,1117.5
TXN-100241,2024-01-11 01:00:00,Australia,Home & Kitchen,569.57,7,0.07,1277.1,3.0,5000,0,4470.27
TXN-100242,2024-01-11 02:00:00,Japan,Health & Beauty,365.19,6,0.09,919.1,4.2,2500,0,2632.58
